method,mean_accuracy,min_accuracy,max_accuracy,n_seeds,accuracy_seed_1,accuracy_seed_3,accuracy_seed_5,accuracy_seed_66,accuracy_seed_789,accuracy_seed_1145,accuracy_seed_2835396,accuracy_seed_18695,accuracy_seed_7723,accuracy_seed_114399,accuracy_seed_200,accuracy_seed_987654,accuracy_seed_2026,accuracy_seed_2027,accuracy_seed_2028,order_seed_1,order_seed_3,order_seed_5,order_seed_66,order_seed_789,order_seed_1145,order_seed_2835396,order_seed_18695,order_seed_7723,order_seed_114399,order_seed_200,order_seed_987654,order_seed_2026,order_seed_2027,order_seed_2028
stack_lda,0.7295968534906588,0.6755162241887905,0.7728613569321534,15,0.7463126843657817,0.7492625368731564,0.7551622418879056,0.7286135693215339,0.6784660766961652,0.7728613569321534,0.7522123893805309,0.7256637168141593,0.7079646017699115,0.7020648967551623,0.7315634218289085,0.7315634218289085,0.7433628318584071,0.7433628318584071,0.6755162241887905,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
conv_fusion_net_0.20,0.7264503441494592,0.6637168141592921,0.7699115044247787,15,0.7404129793510325,0.7551622418879056,0.7374631268436578,0.6991150442477876,0.6902654867256637,0.7699115044247787,0.7581120943952803,0.7168141592920354,0.7020648967551623,0.7079646017699115,0.7551622418879056,0.7256637168141593,0.7286135693215339,0.7463126843657817,0.6637168141592921,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
stack_log_c01,0.7262536873156342,0.6666666666666666,0.7728613569321534,15,0.7374631268436578,0.7522123893805309,0.7404129793510325,0.7109144542772862,0.6784660766961652,0.7728613569321534,0.7463126843657817,0.7345132743362832,0.7138643067846607,0.7020648967551623,0.7286135693215339,0.7138643067846607,0.7404129793510325,0.7551622418879056,0.6666666666666666,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
conv_fusion_z_et_0.20,0.7256637168141594,0.672566371681416,0.7610619469026548,15,0.7315634218289085,0.7551622418879056,0.7374631268436578,0.7109144542772862,0.6873156342182891,0.7610619469026548,0.7551622418879056,0.7227138643067846,0.7020648967551623,0.7138643067846607,0.7345132743362832,0.7197640117994101,0.7433628318584071,0.7374631268436578,0.672566371681416,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
conv_fusion_net_0.10,0.7256637168141592,0.6784660766961652,0.7728613569321534,15,0.7551622418879056,0.7433628318584071,0.7374631268436578,0.7168141592920354,0.6873156342182891,0.7728613569321534,0.7433628318584071,0.7227138643067846,0.7020648967551623,0.7050147492625368,0.7404129793510325,0.7256637168141593,0.7286135693215339,0.7256637168141593,0.6784660766961652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
stack_log_c003,0.7252704031465095,0.672566371681416,0.7817109144542773,15,0.7315634218289085,0.7374631268436578,0.7345132743362832,0.7168141592920354,0.6784660766961652,0.7817109144542773,0.7433628318584071,0.7374631268436578,0.696165191740413,0.7020648967551623,0.7315634218289085,0.7168141592920354,0.7433628318584071,0.7551622418879056,0.672566371681416,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
conv_fusion_zp_log_0.10,0.7246804326450342,0.6784660766961652,0.7728613569321534,15,0.7345132743362832,0.7463126843657817,0.7374631268436578,0.7168141592920354,0.6843657817109144,0.7728613569321534,0.7404129793510325,0.7256637168141593,0.7050147492625368,0.7109144542772862,0.7315634218289085,0.7227138643067846,0.7374631268436578,0.7256637168141593,0.6784660766961652,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
conv_fusion_z_svc_0.10,0.7244837758112094,0.6784660766961652,0.7728613569321534,15,0.7374631268436578,0.7463126843657817,0.7374631268436578,0.7168141592920354,0.6843657817109144,0.7728613569321534,0.7404129793510325,0.7256637168141593,0.7050147492625368,0.7109144542772862,0.7374631268436578,0.7138643067846607,0.7345132743362832,0.7256637168141593,0.6784660766961652,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
conv_fusion_z_log_0.10,0.7242871189773844,0.6784660766961652,0.7699115044247787,15,0.7345132743362832,0.7463126843657817,0.7374631268436578,0.7168141592920354,0.6843657817109144,0.7699115044247787,0.7404129793510325,0.7256637168141593,0.7050147492625368,0.7109144542772862,0.7315634218289085,0.7227138643067846,0.7345132743362832,0.7256637168141593,0.6784660766961652,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
oof_rank_mean5,0.7240904621435594,0.6873156342182891,0.7846607669616519,15,0.7374631268436578,0.7315634218289085,0.7315634218289085,0.7020648967551623,0.6873156342182891,0.7846607669616519,0.7374631268436578,0.7197640117994101,0.7020648967551623,0.696165191740413,0.7197640117994101,0.7197640117994101,0.7492625368731564,0.7463126843657817,0.696165191740413,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
conv_fusion_z_et_0.10,0.7238938053097345,0.6784660766961652,0.7699115044247787,15,0.7404129793510325,0.7374631268436578,0.7433628318584071,0.7227138643067846,0.6873156342182891,0.7699115044247787,0.7463126843657817,0.7227138643067846,0.6991150442477876,0.7109144542772862,0.7374631268436578,0.7138643067846607,0.7227138643067846,0.7256637168141593,0.6784660766961652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
oof_rank_mean3,0.7235004916420846,0.6873156342182891,0.775811209439528,15,0.7404129793510325,0.7315634218289085,0.7374631268436578,0.7079646017699115,0.6873156342182891,0.775811209439528,0.7374631268436578,0.7197640117994101,0.6991150442477876,0.6932153392330384,0.7197640117994101,0.7168141592920354,0.7492625368731564,0.7404129793510325,0.696165191740413,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
oof_rank_median5,0.7233038348082594,0.6784660766961652,0.7728613569321534,15,0.7404129793510325,0.7286135693215339,0.7286135693215339,0.7197640117994101,0.6784660766961652,0.7728613569321534,0.7345132743362832,0.7286135693215339,0.6991150442477876,0.7020648967551623,0.7168141592920354,0.7079646017699115,0.7492625368731564,0.7492625368731564,0.6932153392330384,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
conv_fusion_z_log_0.20,0.7231071779744347,0.6696165191740413,0.7640117994100295,15,0.7138643067846607,0.7640117994100295,0.7345132743362832,0.7168141592920354,0.672566371681416,0.7640117994100295,0.7345132743362832,0.7227138643067846,0.6991150442477876,0.7197640117994101,0.7433628318584071,0.7138643067846607,0.7345132743362832,0.7433628318584071,0.6696165191740413,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
oof_rank_mean8,0.7231071779744347,0.6843657817109144,0.7817109144542773,15,0.7315634218289085,0.7315634218289085,0.7256637168141593,0.7050147492625368,0.6843657817109144,0.7817109144542773,0.7345132743362832,0.7197640117994101,0.7020648967551623,0.7020648967551623,0.7197640117994101,0.7109144542772862,0.7551622418879056,0.7433628318584071,0.6991150442477876,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
conv_gate0.008,0.7231071779744346,0.6902654867256637,0.7551622418879056,15,0.7404129793510325,0.7551622418879056,0.7079646017699115,0.7109144542772862,0.6902654867256637,0.7492625368731564,0.7315634218289085,0.6991150442477876,0.6991150442477876,0.7109144542772862,0.7551622418879056,0.7138643067846607,0.7492625368731564,0.7433628318584071,0.6902654867256637,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
oof_rank_median8,0.7229105211406097,0.6814159292035398,0.775811209439528,15,0.7345132743362832,0.7286135693215339,0.7345132743362832,0.7168141592920354,0.6814159292035398,0.775811209439528,0.7345132743362832,0.7256637168141593,0.7020648967551623,0.6991150442477876,0.7168141592920354,0.7168141592920354,0.7522123893805309,0.7315634218289085,0.6932153392330384,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
oof_rank_mean12,0.7229105211406096,0.6902654867256637,0.775811209439528,15,0.7345132743362832,0.7256637168141593,0.7286135693215339,0.7109144542772862,0.6902654867256637,0.775811209439528,0.7404129793510325,0.7197640117994101,0.6991150442477876,0.7050147492625368,0.7138643067846607,0.7138643067846607,0.7492625368731564,0.7433628318584071,0.6932153392330384,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
conv_fusion_zp_log_0.20,0.7223205506391347,0.6637168141592921,0.7640117994100295,15,0.7138643067846607,0.7640117994100295,0.7345132743362832,0.7197640117994101,0.6755162241887905,0.7610619469026548,0.7345132743362832,0.7227138643067846,0.6991150442477876,0.7138643067846607,0.7404129793510325,0.7138643067846607,0.7345132743362832,0.7433628318584071,0.6637168141592921,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
conv_fusion_z_svc_0.20,0.7221238938053098,0.6696165191740413,0.7640117994100295,15,0.7109144542772862,0.7581120943952803,0.7345132743362832,0.7168141592920354,0.6902654867256637,0.7640117994100295,0.7315634218289085,0.7315634218289085,0.6991150442477876,0.7109144542772862,0.7286135693215339,0.7079646017699115,0.7345132743362832,0.7433628318584071,0.6696165191740413,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
oof_rank_median12,0.7219272369714848,0.6784660766961652,0.7817109144542773,15,0.7345132743362832,0.7227138643067846,0.7345132743362832,0.7109144542772862,0.6784660766961652,0.7817109144542773,0.7374631268436578,0.7256637168141593,0.7079646017699115,0.6902654867256637,0.7168141592920354,0.7109144542772862,0.7463126843657817,0.7374631268436578,0.6932153392330384,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
conv_gate0.012,0.7209439528023599,0.6902654867256637,0.7551622418879056,15,0.7404129793510325,0.7551622418879056,0.7079646017699115,0.7109144542772862,0.6902654867256637,0.7492625368731564,0.7315634218289085,0.6991150442477876,0.6991150442477876,0.7109144542772862,0.7227138643067846,0.7138643067846607,0.7492625368731564,0.7433628318584071,0.6902654867256637,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
conv_gate0.016,0.72055063913471,0.6902654867256637,0.7551622418879056,15,0.7404129793510325,0.7551622418879056,0.7079646017699115,0.7079646017699115,0.6902654867256637,0.7492625368731564,0.7315634218289085,0.6991150442477876,0.6991150442477876,0.7079646017699115,0.7227138643067846,0.7138643067846607,0.7492625368731564,0.7433628318584071,0.6902654867256637,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
oof_rank_median3,0.72015732546706,0.6755162241887905,0.7640117994100295,15,0.7433628318584071,0.7286135693215339,0.7227138643067846,0.7109144542772862,0.6755162241887905,0.7640117994100295,0.7404129793510325,0.7227138643067846,0.6991150442477876,0.6991150442477876,0.7168141592920354,0.7109144542772862,0.7286135693215339,0.7492625368731564,0.6902654867256637,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
recipe_robust_core_mean,0.7199606686332349,0.672566371681416,0.7640117994100295,15,0.7286135693215339,0.7256637168141593,0.7227138643067846,0.7138643067846607,0.672566371681416,0.7640117994100295,0.7404129793510325,0.7227138643067846,0.6991150442477876,0.7020648967551623,0.7109144542772862,0.7079646017699115,0.7492625368731564,0.7315634218289085,0.7079646017699115,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
recipe_robust_core_median,0.7199606686332349,0.672566371681416,0.7640117994100295,15,0.7286135693215339,0.7256637168141593,0.7227138643067846,0.7138643067846607,0.672566371681416,0.7640117994100295,0.7404129793510325,0.7227138643067846,0.6991150442477876,0.7020648967551623,0.7109144542772862,0.7079646017699115,0.7492625368731564,0.7315634218289085,0.7079646017699115,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
recipe_conv_spec_erp_mean,0.7193706981317601,0.6755162241887905,0.7669616519174042,15,0.7227138643067846,0.7227138643067846,0.7315634218289085,0.7168141592920354,0.6755162241887905,0.7669616519174042,0.7345132743362832,0.7286135693215339,0.6991150442477876,0.696165191740413,0.7138643067846607,0.7138643067846607,0.7404129793510325,0.7315634218289085,0.696165191740413,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
recipe_conv_spec_erp_median,0.7193706981317601,0.6755162241887905,0.7669616519174042,15,0.7227138643067846,0.7227138643067846,0.7315634218289085,0.7168141592920354,0.6755162241887905,0.7669616519174042,0.7345132743362832,0.7286135693215339,0.6991150442477876,0.696165191740413,0.7138643067846607,0.7138643067846607,0.7404129793510325,0.7315634218289085,0.696165191740413,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
recipe_four_core_mean,0.7193706981317601,0.6755162241887905,0.7669616519174042,15,0.7227138643067846,0.7227138643067846,0.7315634218289085,0.7168141592920354,0.6755162241887905,0.7669616519174042,0.7345132743362832,0.7286135693215339,0.6991150442477876,0.696165191740413,0.7138643067846607,0.7138643067846607,0.7404129793510325,0.7315634218289085,0.696165191740413,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
recipe_four_core_median,0.7193706981317601,0.6755162241887905,0.7669616519174042,15,0.7227138643067846,0.7227138643067846,0.7315634218289085,0.7168141592920354,0.6755162241887905,0.7669616519174042,0.7345132743362832,0.7286135693215339,0.6991150442477876,0.696165191740413,0.7138643067846607,0.7138643067846607,0.7404129793510325,0.7315634218289085,0.696165191740413,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
spec_fusion_spec649_log_c08_0.18,0.7193706981317601,0.6814159292035398,0.7817109144542773,15,0.7404129793510325,0.7197640117994101,0.7492625368731564,0.7050147492625368,0.6814159292035398,0.7817109144542773,0.7286135693215339,0.7168141592920354,0.6873156342182891,0.6932153392330384,0.7197640117994101,0.7168141592920354,0.7315634218289085,0.7168141592920354,0.7020648967551623,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
conv_fusion_z_et_0.35,0.71897738446411,0.6637168141592921,0.7522123893805309,15,0.7168141592920354,0.7404129793510325,0.7168141592920354,0.7315634218289085,0.672566371681416,0.7492625368731564,0.7522123893805309,0.7050147492625368,0.6991150442477876,0.7138643067846607,0.7404129793510325,0.7138643067846607,0.7492625368731564,0.7197640117994101,0.6637168141592921,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
spec_fusion_spec649_ridge_a5_0.28,0.7179941002949853,0.6814159292035398,0.7669616519174042,15,0.7256637168141593,0.7227138643067846,0.7433628318584071,0.7109144542772862,0.6814159292035398,0.7669616519174042,0.7286135693215339,0.7227138643067846,0.696165191740413,0.6932153392330384,0.7109144542772862,0.7256637168141593,0.7168141592920354,0.7109144542772862,0.7138643067846607,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
spec_fusion_spec649_svc_c08_0.40,0.7177974434611603,0.6755162241887905,0.7728613569321534,15,0.7404129793510325,0.7256637168141593,0.7345132743362832,0.7109144542772862,0.6814159292035398,0.7728613569321534,0.7433628318584071,0.7168141592920354,0.696165191740413,0.7109144542772862,0.7138643067846607,0.7050147492625368,0.7227138643067846,0.7168141592920354,0.6755162241887905,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
spec_fusion_spec649_log_c04_0.18,0.7174041297935102,0.6843657817109144,0.775811209439528,15,0.7433628318584071,0.7227138643067846,0.7433628318584071,0.7050147492625368,0.6843657817109144,0.775811209439528,0.7315634218289085,0.7109144542772862,0.6873156342182891,0.6902654867256637,0.7138643067846607,0.7138643067846607,0.7315634218289085,0.7168141592920354,0.6902654867256637,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
