seed,method,selected,oof_accuracy,accuracy,balanced_accuracy,pred_rate
2027,conv_fusion_net_0.10,conv_fusion_net_0.10,0.6952029520295203,0.7256637168141593,0.720020964360587,0.3952802359882006
2027,conv_fusion_net_0.20,conv_fusion_net_0.20,0.7040590405904059,0.7463126843657817,0.7405660377358491,0.39233038348082594
2027,conv_fusion_net_0.35,conv_fusion_net_0.35,0.6863468634686347,0.7079646017699115,0.7018867924528303,0.3893805309734513
2027,conv_fusion_z_et_0.10,conv_fusion_z_et_0.10,0.6959409594095941,0.7256637168141593,0.7203878406708595,0.40117994100294985
2027,conv_fusion_z_et_0.20,conv_fusion_z_et_0.20,0.7062730627306273,0.7374631268436578,0.7311320754716981,0.3834808259587021
2027,conv_fusion_z_et_0.35,conv_fusion_z_et_0.35,0.6996309963099631,0.7197640117994101,0.7137316561844864,0.3893805309734513
2027,conv_fusion_z_log_0.10,conv_fusion_z_log_0.10,0.6944649446494465,0.7256637168141593,0.7203878406708595,0.40117994100294985
2027,conv_fusion_z_log_0.20,conv_fusion_z_log_0.20,0.7033210332103321,0.7433628318584071,0.7374213836477987,0.3893805309734513
2027,conv_fusion_z_log_0.35,conv_fusion_z_log_0.35,0.6915129151291513,0.7079646017699115,0.7022536687631027,0.3952802359882006
2027,conv_fusion_z_svc_0.10,conv_fusion_z_svc_0.10,0.6952029520295203,0.7256637168141593,0.7203878406708595,0.40117994100294985
2027,conv_fusion_z_svc_0.20,conv_fusion_z_svc_0.20,0.7062730627306273,0.7433628318584071,0.7374213836477987,0.3893805309734513
2027,conv_fusion_z_svc_0.35,conv_fusion_z_svc_0.35,0.6856088560885609,0.7050147492625368,0.70020964360587,0.41002949852507375
2027,conv_fusion_zp_log_0.10,conv_fusion_zp_log_0.10,0.6944649446494465,0.7256637168141593,0.7203878406708595,0.40117994100294985
2027,conv_fusion_zp_log_0.20,conv_fusion_zp_log_0.20,0.7033210332103321,0.7433628318584071,0.7374213836477987,0.3893805309734513
2027,conv_fusion_zp_log_0.35,conv_fusion_zp_log_0.35,0.6878228782287823,0.7079646017699115,0.7022536687631027,0.3952802359882006
2027,conv_gate0.008,conv_gate0.008,0.7062730627306273,0.7433628318584071,0.7374213836477987,0.3893805309734513
2027,conv_gate0.012,conv_gate0.012,0.7062730627306273,0.7433628318584071,0.7374213836477987,0.3893805309734513
