method,original_order,mean_accuracy,min_accuracy,max_accuracy,n_runs,accuracy_seed2026_sess1_to_sess2,accuracy_seed2026_sess2_to_sess1,accuracy_seed1145_sess1_to_sess2,accuracy_seed1145_sess2_to_sess1,accuracy_seed114399_sess1_to_sess2,accuracy_seed114399_sess2_to_sess1
conv_fusion_z_log_0.20,8,0.6871526732312586,0.6795774647887324,0.6947743467933492,6,0.6807511737089202,0.6923990498812351,0.6795774647887324,0.6947743467933492,0.6901408450704225,0.6852731591448931
conv_fusion_zp_log_0.20,14,0.6867660834364858,0.6772300469483568,0.6971496437054632,6,0.6772300469483568,0.6935866983372921,0.6784037558685446,0.6971496437054632,0.6901408450704225,0.684085510688836
conv_fusion_z_et_0.20,5,0.6855761117244507,0.676056338028169,0.6923990498812351,6,0.676056338028169,0.6923990498812351,0.6830985915492958,0.6864608076009501,0.687793427230047,0.6876484560570071
conv_fusion_z_et_0.35,6,0.6849985502882695,0.6713615023474179,0.6923990498812351,6,0.6713615023474179,0.6900237529691211,0.6772300469483568,0.6923990498812351,0.6901408450704225,0.6888361045130641
conv_fusion_z_svc_0.20,11,0.6849846107524004,0.6772300469483568,0.6900237529691211,6,0.6807511737089202,0.6888361045130641,0.6772300469483568,0.6900237529691211,0.687793427230047,0.6852731591448931
stack_log_c01,121,0.68436755396459,0.6725352112676056,0.6971830985915493,6,0.6725352112676056,0.6817102137767221,0.6971830985915493,0.6852731591448931,0.687793427230047,0.6817102137767221
conv_fusion_net_0.20,2,0.68401581300949,0.676056338028169,0.6923990498812351,6,0.681924882629108,0.684085510688836,0.676056338028169,0.6923990498812351,0.6772300469483568,0.6923990498812351
stack_log_c003,120,0.6824206654548562,0.6748826291079812,0.6888361045130641,6,0.6795774647887324,0.6805225653206651,0.6866197183098591,0.6888361045130641,0.6748826291079812,0.684085510688836
conv_fusion_zp_log_0.35,15,0.6802572494879544,0.6666666666666666,0.6947743467933492,6,0.6666666666666666,0.6947743467933492,0.6795774647887324,0.6817102137767221,0.687793427230047,0.671021377672209
conv_gate0.008,16,0.6802409866961069,0.665083135391924,0.6901408450704225,6,0.676056338028169,0.665083135391924,0.676056338028169,0.6852731591448931,0.6901408450704225,0.6888361045130641
conv_gate0.012,17,0.6802409866961069,0.665083135391924,0.6901408450704225,6,0.676056338028169,0.665083135391924,0.676056338028169,0.6852731591448931,0.6901408450704225,0.6888361045130641
conv_gate0.016,18,0.6802409866961069,0.665083135391924,0.6901408450704225,6,0.676056338028169,0.665083135391924,0.676056338028169,0.6852731591448931,0.6901408450704225,0.6888361045130641
conv_fusion_z_log_0.35,9,0.6798613666692687,0.6654929577464789,0.6923990498812351,6,0.6654929577464789,0.6923990498812351,0.6784037558685446,0.6805225653206651,0.6901408450704225,0.672209026128266
oof_rank_mean12,31,0.6798567201573121,0.669833729216152,0.6876484560570071,6,0.6772300469483568,0.669833729216152,0.6784037558685446,0.6852731591448931,0.6807511737089202,0.6876484560570071
oof_rank_mean8,34,0.6794654838505831,0.6733966745843231,0.6876484560570071,6,0.6737089201877934,0.6733966745843231,0.6807511737089202,0.6817102137767221,0.6795774647887324,0.6876484560570071
oof_rank_mean3,32,0.6790812173117883,0.669833729216152,0.6888361045130641,6,0.676056338028169,0.669833729216152,0.676056338028169,0.6876484560570071,0.676056338028169,0.6888361045130641
oof_rank_median12,35,0.6790603080079847,0.668646080760095,0.6864608076009501,6,0.6807511737089202,0.668646080760095,0.681924882629108,0.6805225653206651,0.676056338028169,0.6864608076009501
oof_rank_median8,38,0.6780915102650743,0.669833729216152,0.6876484560570071,6,0.6784037558685446,0.669833729216152,0.676056338028169,0.6828978622327792,0.6737089201877934,0.6876484560570071
conv_fusion_z_et_0.10,4,0.6778982153676877,0.6737089201877934,0.684085510688836,6,0.6737089201877934,0.684085510688836,0.6748826291079812,0.6805225653206651,0.6772300469483568,0.6769596199524941
